HourUTC,SpotPriceDKK,acc_precip,mean_cloud_cover,mean_pressure,mean_radiation,mean_relative_hum,mean_temp,mean_wind_speed
1732147200.0,,0.1,67.0,995.3,0.0,90.5,-1.0,2.7
1732150800.0,,0.1,73.0,995.0,0.0,90.4,-0.9,2.5
1732154400.0,,0.1,73.0,994.6,0.0,89.9,-0.8,2.6
1732158000.0,,0.1,80.0,994.2,0.0,90.1,-0.9,2.6
1732161600.0,,0.1,82.0,993.6,0.0,91.1,-0.7,2.6
1732165200.0,,0.2,77.0,993.2,0.0,91.5,-0.8,2.9
1732168800.0,,0.3,80.0,993.0,0.1,91.6,-0.6,2.8
1732172400.0,,0.3,75.0,992.7,9.1,92.5,-0.8,2.5
1732176000.0,,0.4,62.0,992.3,46.9,92.8,-0.7,2.3
1732179600.0,,0.3,63.0,992.1,97.4,91.6,-0.2,2.1
1732183200.0,,0.3,48.0,991.6,128.0,90.8,0.4,2.0
1732186800.0,,0.3,48.0,991.1,129.0,88.7,0.8,2.0
1732190400.0,,0.2,42.0,990.6,127.1,86.7,1.0,2.1
1732194000.0,,0.1,40.0,990.2,75.2,85.6,0.9,2.0
1732197600.0,,0.1,36.0,990.0,19.3,86.9,0.2,1.9
1732201200.0,,0.1,43.0,989.7,0.2,89.3,-0.8,1.9
1732204800.0,,0.1,27.0,989.6,0.1,90.4,-1.7,1.8
1732208400.0,,0.0,36.0,989.5,0.1,90.6,-2.4,1.5
1732212000.0,,0.0,39.0,989.5,0.0,90.9,-2.8,1.3
1732215600.0,,0.0,37.0,989.7,0.0,91.3,-3.5,1.3
1732219200.0,,0.0,39.0,990.0,0.0,91.7,-3.8,1.2
1732222800.0,916.719971,0.0,35.0,990.3,0.0,91.9,-4.0,1.3
1732226400.0,801.559998,0.0,75.0,990.6,0.0,91.6,-3.8,1.3
1732230000.0,866.090027,0.0,55.0,990.8,0.0,91.2,-3.6,1.3
1732233600.0,792.179993,0.0,31.0,990.8,0.0,91.6,-3.7,1.5
1732237200.0,729.820007,0.0,33.0,990.8,0.0,91.4,-4.0,1.6
1732240800.0,681.48999,0.0,53.0,990.9,0.0,91.3,-4.1,1.5
